ID,Name of Medical Facility,Email,English Speaking Staff,Main Specialisation,Public/Private Facility,Accreditation
24103685,AKSIMED,admin@aksimed.ua,Some,Diagnostic facilities; General medicine; Neurology,Private,
24103686,AMERICAN MEDICAL CENTRE,kyiv@amcenters.com,Yes,General medicine,Private,
24103687,AVANTO,info@avanto.ua,Some,Dental care,Private,
24103688,Clinic of Aesthetic Dentistry,kes@kes.com.ua,Some,Dental care,Private,
24103689,DOBROBUT,info@med.dobrobut.com,Some,Diagnostic facilities; General/Emergency medicine; Dental care,Private,
24103690,UNIVERSUM.CLINIC,med@universum.clinic,Yes,Diagnostics facilities; General/Emergency medicine; Homedoc; Trauma Center,Private,
24103691,EURODENT,info@eurodent.ua,Some,Dental care,Private,
24103692,EUROLAB,,Some,Diagnostic facilities; General medicine,Private,
24103693,EXIMER,ek.inform@eximer.org.ua,Some,Ophthalmology; Diagnostic facilities; Treatment,Private,
24103694,KYIV CITY EMERGENCY HOSPITAL,,Some,Emergency medicine,Public,Ministry of Health
24103695,LITUS,info@litus.com.ua,Some,Dermatology; Aesthetic Medicine; Diagnostic facilities,Private,
24103696,MEDIKOM,info@medikom.ua,Yes,General/Emergency medicine,Private,
24103697,INTO-SANA,info@into-sana.ua,Some,Diagnostic facilities; General/Emergency medicine,Private,
24103698,NOVIY ZIR,,Some,Ophthalmology; Diagnostic facilities; Treatment,Private,
24103699,OBERIG,5213003@oberig.ua,Some,Diagnostic facilities; General/Emergency medicine,Private,
24103700,OXFORD MEDICAL,,Some,Diagnostic facilities; General/Emergency medicine,Private,
24103701,VIVA,,Some,Diagnostic facilities; General/Emergency medicine,Private,
24103702,PORCELAIN,,Yes,Dental care,Private,
24103703,OHMADYT,,Some,Ukrainian Children Specialized Hospital,Private,
24103704,Regional Clinical Hospital #1,,Some,Diagnostic facilities; General medicine,Public,
